block_number,adv_stake_percent,inflation_rate,start_staked_percent,bonded_percent
0,25.0,7,25,10
0,24.999999997192795,7,25,10
1000000,25.000006457936518,7,25,10
2000000,25.00000290597615,7,25,10
3000000,24.99999689060862,7,25,10
4000000,24.999995574324572,7,25,10
5000000,24.999993836604627,7,25,10
6000000,24.999995081510868,7,25,10
7000000,24.999994457645105,7,25,10
8000000,24.999995521571787,7,25,10
9000000,24.999996719157693,7,25,10
10000000,24.99999932056848,7,25,10
11000000,25.00000028763683,7,25,10
12000000,25.00000000616689,7,25,10
13000000,25.000001409988165,7,25,10
14000000,25.000001733128013,7,25,10
15000000,25.00000334764848,7,25,10
16000000,25.000001442081132,7,25,10
17000000,25.00000089732941,7,25,10
18000000,25.000000940584798,7,25,10
19000000,25.000000283805978,7,25,10
20000000,25.000001987883095,7,25,10
21000000,25.000003138966637,7,25,10
22000000,25.000004074563005,7,25,10
23000000,25.000003874237205,7,25,10
24000000,25.000004530624203,7,25,10
25000000,25.00000429884422,7,25,10
26000000,25.000004180696973,7,25,10
27000000,25.000003263993953,7,25,10
28000000,25.000004759565602,7,25,10
29000000,25.000004011335385,7,25,10
30000000,25.00000495785454,7,25,10
31000000,25.00000520426694,7,25,10
32000000,25.00000539892583,7,25,10
33000000,25.00000422489501,7,25,10
34000000,25.000004411106495,7,25,10
35000000,25.000003451934294,7,25,10
36000000,25.00000277579583,7,25,10
37000000,25.00000348898957,7,25,10
38000000,25.00000367950122,7,25,10
39000000,25.000003039205282,7,25,10
40000000,25.000003503205136,7,25,10
41000000,25.000003677795647,7,25,10
42000000,25.00000397820155,7,25,10
43000000,25.00000522378649,7,25,10
44000000,25.000004757442717,7,25,10
45000000,25.00000351049104,7,25,10
46000000,25.00000378697409,7,25,10
47000000,25.000003249895368,7,25,10
48000000,25.000003438638952,7,25,10
49000000,25.00000342210931,7,25,10
50000000,25.00000328222453,7,25,10
51000000,25.000003430336516,7,25,10
52000000,25.00000296038331,7,25,10
53000000,25.00000372488288,7,25,10
54000000,25.000003094503437,7,25,10
55000000,25.00000131856506,7,25,10
56000000,25.000000756145734,7,25,10
57000000,24.999999796945634,7,25,10
