block_number,adv_stake_percent,inflation_rate,start_staked_percent,bonded_percent
0,25.0,1,25,10
0,24.999999997192795,1,25,10
1000000,24.999989676827504,1,25,10
2000000,24.9999968930707,1,25,10
3000000,24.99998784317333,1,25,10
4000000,24.999986333238255,1,25,10
5000000,24.99998438581155,1,25,10
6000000,24.999986865347662,1,25,10
7000000,24.999983138431162,1,25,10
8000000,24.999987616430552,1,25,10
9000000,24.99998959892921,1,25,10
10000000,24.99998506782076,1,25,10
11000000,24.999980581607257,1,25,10
12000000,24.999979920767178,1,25,10
13000000,24.999974466524975,1,25,10
14000000,24.99997199948816,1,25,10
15000000,24.999970482396876,1,25,10
16000000,24.99996986459198,1,25,10
17000000,24.999967970812374,1,25,10
18000000,24.99996960924291,1,25,10
19000000,24.999973962336934,1,25,10
20000000,24.99997371504011,1,25,10
21000000,24.999967524159647,1,25,10
22000000,24.999967028234295,1,25,10
23000000,24.999964170102043,1,25,10
24000000,24.999965227501928,1,25,10
25000000,24.999965594901493,1,25,10
26000000,24.999962208740822,1,25,10
27000000,24.999963760844306,1,25,10
28000000,24.99996600524032,1,25,10
29000000,24.999967247177178,1,25,10
30000000,24.999965367834783,1,25,10
31000000,24.999972959490066,1,25,10
32000000,24.999972945897277,1,25,10
33000000,24.999972548626637,1,25,10
34000000,24.999970646270363,1,25,10
35000000,24.99997240154744,1,25,10
36000000,24.999971901344413,1,25,10
37000000,24.99997290498504,1,25,10
38000000,24.999978615691738,1,25,10
39000000,24.999976670186314,1,25,10
40000000,24.999974208868714,1,25,10
41000000,24.99997154471806,1,25,10
42000000,24.999973379567255,1,25,10
43000000,24.999972069478112,1,25,10
44000000,24.99997379913125,1,25,10
45000000,24.999974810949823,1,25,10
46000000,24.999972691401865,1,25,10
47000000,24.99997326382578,1,25,10
48000000,24.99997439230222,1,25,10
49000000,24.99997178739443,1,25,10
50000000,24.99997079126797,1,25,10
51000000,24.999970600848147,1,25,10
52000000,24.99997118896962,1,25,10
53000000,24.999970984506177,1,25,10
54000000,24.99996964986414,1,25,10
55000000,24.99996937569837,1,25,10
56000000,24.999969233388935,1,25,10
57000000,24.99997224246389,1,25,10
58000000,24.999972699107712,1,25,10
59000000,24.999973013983933,1,25,10
60000000,24.99997475424157,1,25,10
61000000,24.999972440236128,1,25,10
62000000,24.99997361789341,1,25,10
63000000,24.99997439468746,1,25,10
64000000,24.99997526177187,1,25,10
65000000,24.99997466658962,1,25,10
66000000,24.999972659410425,1,25,10
67000000,24.999973940775106,1,25,10
68000000,24.999972963368126,1,25,10
69000000,24.999972885588917,1,25,10
70000000,24.999972678542314,1,25,10
71000000,24.99997420293589,1,25,10
72000000,24.999973115155257,1,25,10
73000000,24.999972365329377,1,25,10
74000000,24.999973917172717,1,25,10
75000000,24.99997244640399,1,25,10
76000000,24.99997196717157,1,25,10
77000000,24.999970133069528,1,25,10
78000000,24.999970674076266,1,25,10
79000000,24.99997272272496,1,25,10
80000000,24.99997447450951,1,25,10
81000000,24.999975104313105,1,25,10
82000000,24.999976126156767,1,25,10
83000000,24.999976779923458,1,25,10
84000000,24.99997835820105,1,25,10
85000000,24.99997746110485,1,25,10
86000000,24.99997869767824,1,25,10
87000000,24.999978196920626,1,25,10
88000000,24.999977944307865,1,25,10
89000000,24.99997725889596,1,25,10
90000000,24.999979023003824,1,25,10
91000000,24.999978513621855,1,25,10
92000000,24.999978301918027,1,25,10
93000000,24.999976364543965,1,25,10
94000000,24.999976271449395,1,25,10
95000000,24.999977318771975,1,25,10
96000000,24.999979492876818,1,25,10
97000000,24.999976982828457,1,25,10
98000000,24.999977313235267,1,25,10
99000000,24.999975886477234,1,25,10
100000000,24.999974970887653,1,25,10
101000000,24.99997670917503,1,25,10
102000000,24.999976792636232,1,25,10
103000000,24.999975257572967,1,25,10
104000000,24.99997624121331,1,25,10
105000000,24.999975971017907,1,25,10
106000000,24.999976480746263,1,25,10
107000000,24.99997460949068,1,25,10
108000000,24.9999734464301,1,25,10
109000000,24.999972938724845,1,25,10
110000000,24.999972259534413,1,25,10
111000000,24.999973861425076,1,25,10
112000000,24.99997444745505,1,25,10
113000000,24.999973777838203,1,25,10
114000000,24.999974987768645,1,25,10
115000000,24.999974585220535,1,25,10
116000000,24.99997440087061,1,25,10
117000000,24.999974860909052,1,25,10
118000000,24.99997381587492,1,25,10
119000000,24.999975609839897,1,25,10
120000000,24.99997603275339,1,25,10
121000000,24.999976265127476,1,25,10
122000000,24.999977109804586,1,25,10
123000000,24.999976430879574,1,25,10
124000000,24.999977153396777,1,25,10
125000000,24.999977045173736,1,25,10
126000000,24.99997494768296,1,25,10
127000000,24.99997405842903,1,25,10
128000000,24.999973893993037,1,25,10
129000000,24.999974832612565,1,25,10
130000000,24.99997373711997,1,25,10
131000000,24.99997345453588,1,25,10
132000000,24.999971558314726,1,25,10
133000000,24.999971805094084,1,25,10
134000000,24.999973397382046,1,25,10
135000000,24.999973492187692,1,25,10
136000000,24.999972942722806,1,25,10
137000000,24.999971625409014,1,25,10
138000000,24.999971553852614,1,25,10
139000000,24.99997318860364,1,25,10
140000000,24.999975298879402,1,25,10
141000000,24.999975495558154,1,25,10
142000000,24.999974703154262,1,25,10
143000000,24.999974150681567,1,25,10
144000000,24.999973296262485,1,25,10
145000000,24.999972068583563,1,25,10
146000000,24.9999725063186,1,25,10
147000000,24.999973314519146,1,25,10
148000000,24.99997326275154,1,25,10
149000000,24.999974217666026,1,25,10
150000000,24.999974731055502,1,25,10
151000000,24.999975254592727,1,25,10
152000000,24.999974721048225,1,25,10
153000000,24.999974588445756,1,25,10
154000000,24.999974815021226,1,25,10
155000000,24.99997550399156,1,25,10
156000000,24.999975564286817,1,25,10
157000000,24.999977556072785,1,25,10
158000000,24.99997914689447,1,25,10
159000000,24.999978716403927,1,25,10
160000000,24.999978757192693,1,25,10
161000000,24.999977771527565,1,25,10
162000000,24.999977755027224,1,25,10
163000000,24.9999774047811,1,25,10
164000000,24.999978440501717,1,25,10
165000000,24.999977897345687,1,25,10
166000000,24.99997862323467,1,25,10
167000000,24.999979218697355,1,25,10
168000000,24.99998025796177,1,25,10
169000000,24.999980591325986,1,25,10
170000000,24.99998066944559,1,25,10
171000000,24.999981325801524,1,25,10
172000000,24.999980794571655,1,25,10
173000000,24.999980544580456,1,25,10
174000000,24.999979645094253,1,25,10
175000000,24.99997848088468,1,25,10
176000000,24.999978246580767,1,25,10
177000000,24.999978404112984,1,25,10
178000000,24.999979065003554,1,25,10
179000000,24.999979573009266,1,25,10
180000000,24.999977731871798,1,25,10
181000000,24.999978084760013,1,25,10
182000000,24.9999770910696,1,25,10
183000000,24.999976562443322,1,25,10
184000000,24.99997607966056,1,25,10
185000000,24.99997543235965,1,25,10
186000000,24.99997404768618,1,25,10
187000000,24.999975100910234,1,25,10
188000000,24.999972281754772,1,25,10
189000000,24.999972574297832,1,25,10
190000000,24.999970760197648,1,25,10
191000000,24.99997062530149,1,25,10
192000000,24.99997108592083,1,25,10
193000000,24.999970392843917,1,25,10
194000000,24.99997213198477,1,25,10
195000000,24.99997159928966,1,25,10
196000000,24.999972615475833,1,25,10
197000000,24.999972475222712,1,25,10
198000000,24.999972190601074,1,25,10
199000000,24.99997218151187,1,25,10
200000000,24.999971249029837,1,25,10
201000000,24.999971026769675,1,25,10
202000000,24.999971671780667,1,25,10
203000000,24.99997195212816,1,25,10
204000000,24.99997351190098,1,25,10
205000000,24.999973686542205,1,25,10
206000000,24.99997415796226,1,25,10
207000000,24.99997460822164,1,25,10
208000000,24.9999741557964,1,25,10
209000000,24.99997364772493,1,25,10
210000000,24.99997425090675,1,25,10
211000000,24.99997455268961,1,25,10
212000000,24.99997430341209,1,25,10
213000000,24.99997446251831,1,25,10
214000000,24.999974482337276,1,25,10
215000000,24.999975166804326,1,25,10
216000000,24.9999759174913,1,25,10
217000000,24.999975568280327,1,25,10
218000000,24.9999764995209,1,25,10
219000000,24.999977816306725,1,25,10
220000000,24.99997680574201,1,25,10
221000000,24.999976440406176,1,25,10
222000000,24.999976259327326,1,25,10
223000000,24.999976124190347,1,25,10
224000000,24.999976093430764,1,25,10
225000000,24.999976366297176,1,25,10
226000000,24.999974669841,1,25,10
227000000,24.99997493509178,1,25,10
228000000,24.999973726485003,1,25,10
229000000,24.999973106514354,1,25,10
230000000,24.99997311773148,1,25,10
231000000,24.999974366236803,1,25,10
232000000,24.99997495459868,1,25,10
233000000,24.999975557145707,1,25,10
234000000,24.999975200889946,1,25,10
235000000,24.99997620202283,1,25,10
236000000,24.99997591827639,1,25,10
237000000,24.999977601840033,1,25,10
238000000,24.99997751502058,1,25,10
239000000,24.999978218744516,1,25,10
240000000,24.999978174650188,1,25,10
241000000,24.999978672313393,1,25,10
242000000,24.99997870907199,1,25,10
243000000,24.999978443402576,1,25,10
244000000,24.99997785971131,1,25,10
245000000,24.999978414401106,1,25,10
246000000,24.999978218118045,1,25,10
247000000,24.999979133935167,1,25,10
248000000,24.99997892457198,1,25,10
249000000,24.999979193098227,1,25,10
250000000,24.999980054508463,1,25,10
251000000,24.999981089977034,1,25,10
252000000,24.999981321884434,1,25,10
253000000,24.999980372835306,1,25,10
254000000,24.999980941554515,1,25,10
255000000,24.999981482435448,1,25,10
256000000,24.999981372328964,1,25,10
257000000,24.999980466902283,1,25,10
258000000,24.999981259879636,1,25,10
259000000,24.999981100180474,1,25,10
260000000,24.999980260836814,1,25,10
